elapsed_s,attack_time_s,activated,gps_sent,inj_lat,inj_lon,inj_alt,inj_vn,inj_ve,inj_vd,fix_type,h_acc,v_acc,s_acc,truth_lat,truth_lon,truth_alt,e_inject_h_m
2.3120001060306095e-06,-72.95309772499968,0,1,35.93051398,-84.31067453,0.0,0.0,0.0,0.0,3,0.5,2.0,0.5,nan,nan,nan,nan
0.2004146959998252,-72.75268534099996,0,1,35.93051398,-84.31067453,0.0,0.0,0.0,0.0,3,0.5,2.0,0.5,nan,nan,nan,nan
0.4018266200000653,-72.55127341699972,0,1,35.93051398,-84.31067453,0.0,0.0,0.0,0.0,3,0.5,2.0,0.5,nan,nan,nan,nan
0.6031863219996012,-72.34991371500018,0,1,35.9305139,-84.3106745,0.0,0.0,0.0,0.0,3,0.5,2.0,0.5,nan,nan,nan,nan
0.8049728679998225,-72.14812716899996,0,1,35.9305139,-84.3106745,0.0,0.0,0.0,0.0,3,0.5,2.0,0.5,nan,nan,nan,nan
1.00590494700009,-71.9471950899997,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.13,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
1.2077689329998975,-71.74533110399989,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.18,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
1.4097864029999982,-71.54331363399979,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.18,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
1.6116696199997023,-71.34143041700008,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.18,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
1.8139152679996187,-71.13918476900017,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.18,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
2.015179938000074,-70.93792009899971,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.16,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
2.215949556999476,-70.73715048000031,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.16,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
2.4177214229994206,-70.53537861400036,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.13,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
2.618488915999478,-70.33461112100031,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.13,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
2.8196373139999196,-70.13346272299987,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
3.0211586599998554,-69.93194137699993,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
3.2218476529997133,-69.73125238400007,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
3.4224684589999015,-69.53063157799988,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
3.623668438000095,-69.32943159899969,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
3.8245874639997055,-69.12851257300008,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
4.026319048000005,-68.92678098899978,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
4.228092069999548,-68.72500796700024,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.1,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
4.428755595999974,-68.52434444099981,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
4.630855291999978,-68.32224474499981,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
4.832046928999262,-68.12105310800052,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
5.032956125000055,-67.92014391199973,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
5.234206358999472,-67.71889367800031,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
5.434904166999331,-67.51819587000045,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,0.01,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
5.636018982999303,-67.31708105400048,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
5.837166928999977,-67.11593310799981,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
6.038601096000093,-66.91449894099969,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
6.239366021999558,-66.71373401500023,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
6.440694891999556,-66.51240514500023,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
6.6423707339999964,-66.31072930299979,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
6.843460630999289,-66.1096394060005,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
7.045949141999699,-65.90715089500009,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
7.247166461999768,-65.70593357500002,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
7.449734129999342,-65.50336590700044,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
7.6528046559997165,-65.30029538100007,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
7.853683043999808,-65.09941699299998,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
8.054841083999236,-64.89825895300055,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.06,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
8.255443880999337,-64.69765615600045,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
8.456371087999287,-64.4967289490005,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
8.657360317999519,-64.29573971900027,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
8.858651669999745,-64.09444836700004,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
9.060159154999383,-63.8929408820004,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
9.261292995000076,-63.69180704199971,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
9.463333273999524,-63.48976676300026,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
9.66447085999971,-63.288629177000075,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.05,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
9.864952518999416,-63.08814751800037,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
10.067389574999652,-62.885710462000134,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
10.268673814999602,-62.684426222000184,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
10.469626886999322,-62.483473150000464,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
10.670938831999592,-62.28216120500019,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
10.871730864999336,-62.08136917200045,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
11.0727774399993,-61.880322597000486,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
11.273916552999253,-61.67918348400053,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
11.475004105999687,-61.4780959310001,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
11.675804771999537,-61.27729526500025,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
11.876404718999765,-61.07669531800002,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
12.077463184999942,-60.87563685199984,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
12.278295722999246,-60.67480431400054,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
12.480020750999756,-60.47307928600003,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
12.68118922299982,-60.271910813999966,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.02,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
12.883117843999571,-60.069982193000214,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
13.08541930499996,-59.867680731999826,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
13.287072625999826,-59.66602741099996,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
13.488267390999681,-59.464832646000104,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
13.690087717000097,-59.26301231999969,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
13.89079391299947,-59.062306124000315,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
14.09233641999981,-58.860763616999975,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
14.293405380999502,-58.65969465600028,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
14.495080562999647,-58.45801947400014,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
14.696398398999918,-58.25670163799987,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
14.898350703999313,-58.05474933300047,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
15.099571195999488,-57.8535288410003,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
15.301354962000005,-57.65174507499978,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
15.502921195999988,-57.4501788409998,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
15.703921534000074,-57.24917850299971,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
15.904404418000013,-57.04869561899977,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
16.10574201199961,-56.847358025000176,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
16.30735510699924,-56.645744930000546,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
16.509336505999272,-56.44376353100051,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
16.710574177000126,-56.24252585999966,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
16.91183622099925,-56.04126381600054,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
17.11466717299936,-55.838432864000424,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
17.316254929000024,-55.63684510799976,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
17.518171308999626,-55.43492872800016,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
17.719013537999672,-55.234086499000114,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
17.920358467999904,-55.03274156899988,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.03,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
18.121089100999598,-54.83201093600019,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
18.323435884999526,-54.62966415200026,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
18.525236139999834,-54.42786389699995,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
18.72662259899971,-54.226477438000074,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
18.927379783000106,-54.02572025399968,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
19.12810683999942,-53.82499319700037,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
19.329781750999246,-53.62331828600054,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
19.531268279999495,-53.42183175700029,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
19.734292662999906,-53.21880737399988,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
19.93545787199946,-53.017642165000325,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
20.137154630999248,-52.81594540600054,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
20.33837035399938,-52.614729683000405,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
20.540250269999888,-52.4128497669999,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
20.741574832999504,-52.21152520400028,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
20.942823487999704,-52.01027654900008,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
21.144370803999664,-51.80872923300012,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
21.34776896099993,-51.60533107599986,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
21.54918001599981,-51.403920020999976,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
21.75125876799939,-51.2018412690004,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
21.952353237999887,-51.0007467989999,0,1,35.9305139,-84.3106744,0.0,0.0,0.0,-0.04,3,0.5,2.0,0.5,35.9305139,-84.3106744,nan,0.0
